departement,total_segpa,total_ulis,total_eleves_en_difficulte,total_eleves,segpa_6eme,ulis_6eme,total_6eme,segpa_5eme,ulis_5eme,total_5eme,segpa_4eme,ulis_4eme,total_4eme,segpa_3eme,ulis_3eme,total_3eme
SEINE-ET-MARNE,7107,3700,10807,336070,1498,805,83697,1880,1010,83943,1916,1004,83705,1813,881,84725
SEINE MARITIME,8167,3086,11253,255757,1724,569,64034,2080,862,64030,2220,888,63851,2143,767,63842
SEINE-SAINT-DENIS,7880,3784,11664,360699,1931,947,91413,2089,1058,90298,1999,913,89078,1861,866,89910
SOMME,4012,2476,6488,111034,846,346,27720,1033,697,27888,1065,750,27665,1068,683,27761
TARN,2787,939,3726,74939,580,221,18669,724,231,18827,760,238,18676,723,249,18767
TARN-ET-GARONNE,1376,1388,2764,55654,308,316,13880,356,394,14024,362,372,13930,350,306,13820
TERRITOIRE DE BELFORT,795,400,1195,29383,172,100,7254,195,118,7342,207,97,7361,221,85,7426
VAL-DE-MARNE,5271,1858,7129,266946,1116,437,67385,1317,521,66871,1423,488,66220,1415,412,66470
VAL-D'OISE,5509,4113,9622,301894,1215,1059,76249,1409,1101,75534,1489,1014,74941,1396,939,75170
VAR,4351,1916,6267,199861,926,466,49866,1083,544,50015,1179,461,49483,1163,445,50497
VAUCLUSE,2997,1561,4558,121172,671,426,30338,774,420,30339,795,369,29979,757,346,30516
VENDEE,4205,1255,5460,144414,971,295,36170,1102,347,36723,1126,321,36417,1006,292,35104
VIENNE,2292,943,3235,82675,462,242,20851,606,244,20807,626,247,20555,598,210,20462
VOSGES,1995,1498,3493,67923,361,381,16751,509,424,16947,569,386,17167,556,307,17058
YONNE,2475,763,3238,64435,571,167,15921,642,199,16154,632,204,16065,630,193,16295
YVELINES,5271,2844,8115,331514,1126,566,83010,1350,769,82857,1433,786,82564,1362,723,83083
